name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,commisioning_year,State,Counties
University of Iowa Main Power Plant,USA0054775,30.7,41.6572,-91.54,Coal,1981.3550489999998,University of Iowa,52.41453,67.372827,68.468703,60.448947,46.762718,1981,Iowa,Johnson County
Albuquerque Solar Energy Center,USA0057567,2.0,35.169000000000004,-106.6,Solar,2011.0,PNM Resources,3.715,4.458,4.185,4.37,4.31,2011,New Mexico,Bernalillo County
NYC-HH - CONEY ISLAND HOSPITAL,USA0061413,2.8,40.5855,-73.9656,Oil,2000.8214289999999,NYC-HH Coney Island Hospital,0.0,0.0,0.0,0.0,0.0,2000,New York,Kings County
Hamilton Peaking,USA0007782,32.0,39.3528,-84.5183,Gas,2000.0,American Mun Power-Ohio  Inc,2.144,2.157,1.564,3.0239999999999996,1.7409999999999999,2000,Ohio,Butler County
South Fork Wind Farm,USA0058691,13.0,43.5873,-95.3751,Wind,2017.0,South Fork Wind LLC,0.0,0.0,0.0,3.448,54.211000000000006,2017,Iowa,Dickinson County
Sargent Canyon Cogeneration,USA0050864,38.2,35.9359,-120.8408,Gas,1991.0,Sargent Canyon Cogeneration Co,278.982,284.311,273.14799999999997,296.315,0.0,1991,California,San Luis Obispo County
Outagamie County Co-Generation Facility,USA0054842,6.4,44.2869,-88.3339,Waste,2009.25,Outagamie Clean Energy Project LLC,24.495,30.461,35.262,43.358999999999995,49.895,2009,Wisconsin,Outagamie County
Jefferson-Lewis BOCES Solar,USA0060819,2.0,43.971000000000004,-75.9698,Solar,2018.0,Cypress Creek Renewables,0.0,0.0,0.0,0.0,0.0,2018,New York,Jefferson County
Gonzales Hydro Plant,USA0007394,1.5,29.4972,-97.4552,Hydro,1984.0,City of Gonzales - (TX),0.0,0.0,0.0,0.0,0.0,1984,Texas,Gonzales County
Field Street,USA0007954,48.0,29.0213,-80.9949,Oil,2001.0,New Smyrna Beach Utilities Commission,2.275,0.265,0.001,-0.102,-0.106,2001,Florida,Volusia County
Lanchester Generating Station,USA0056850,3.2,40.1108,-75.9547,Waste,2008.5,Energy Developments  Inc II,17.088,11.907,18.425,18.945,18.593,2008,Pennsylvania,Lancaster County
RE Adams East  LLC,USA0058984,19.0,36.6175,-120.2908,Solar,2015.0,Dominion Renewable Energy,0.0,1.541,51.04600000000001,49.881,50.367,2015,California,Fresno County
Buffalo Mountain Energy Center,USA0056493,27.0,36.1271,-84.3442,Wind,2005.0,Invenergy Services LLC,46.745,51.14,45.841,37.747,43.327,2005,Tennessee,Roane County
Newton Grove,USA0059835,1.9,35.2516,-78.3674,Solar,2015.0,SRE Utility Solar 1  LLC,0.0,0.0,0.698,3.5210000000000004,3.4989999999999997,2015,North Carolina,Sampson County
Veyo Heat Recovery Project,USA0060421,9.5,37.348,-113.765,Cogeneration,2016.0,Utah Associated Mun Power Sys,0.0,0.0,0.0,36.108000000000004,52.917,2016,Utah,Washington County
Cushman 1,USA0003914,43.2,47.4181,-123.2252,Hydro,1926.0,City of Tacoma - (WA),97.014,131.747,107.1,185.03400000000002,145.615,1926,Washington,Mason County
White Oak Solar  LLC,USA0060082,76.5,33.0368,-82.1113,Solar,2016.0,White Oak Solar  LLC,0.0,0.0,0.0,68.895,159.286,2016,Georgia,Burke County
Steel Bridge Solar  LLC,USA0060057,2.3,45.068000000000005,-123.47,Solar,2016.0,Steel Bridge Solar. LLC,0.0,0.0,0.0,2.963,3.89,2016,Oregon,Yamhill County
Hamakua Energy Plant,USA0055369,66.0,20.0939,-155.4711,Oil,2000.0,Hamakua Energy  LLC,170.39893500000002,182.295004,224.284004,131.16,145.071,2000,Hawaii,Hawaii County
Fighting Creek LFGTE Plant,USA0057902,3.2,47.5317,-116.93,Waste,2012.0,Kootenai Electric Cooperative Inc,11.019,8.639,12.485,11.453,12.195,2012,Idaho,Kootenai County
Cascade Dam,USA0000813,12.4,44.5256,-116.0483,Hydro,1984.0,Idaho Power Co,39.982,43.078,31.539,42.248000000000005,47.655,1984,Idaho,Valley County
Catawba,USA0006036,2410.2,35.0514,-81.0694,Nuclear,1985.5,Duke Energy Carolinas  LLC,19165.965,18711.509,18377.461,19558.264,19706.683,1985,South Carolina,York County
Melinda Solar,USA0059502,5.0,36.2487,-78.3475,Solar,2015.0,Melinda Solar LLC,0.0,0.0,1.62,8.765,8.921,2015,North Carolina,Vance County
Eckert Station,USA0001831,240.0,42.7184,-84.5581,Coal,1967.6666670000002,Lansing Board of Water and Light,511.50999900000005,549.2519980000001,500.876003,540.333005,352.13,1967,Michigan,Ingham County
Auten Road Farm  LLC,USA0060634,5.0,35.305,-81.1373,Solar,2018.0,Cypress Creek Renewables,0.0,0.0,0.0,0.0,0.0,2018,North Carolina,Gaston County
Deerfield 5,USA0001620,17.5,42.6912,-72.9561,Hydro,1974.0,Great River Hydro  LLC,53.284,53.059,40.255,37.478,60.976000000000006,1974,Massachusetts,Franklin County
Arlington Valley Solar Energy II,USA0057680,129.0,33.305,-112.8339,Solar,2013.0,Arlington Valley Solar Energy II LLC,194.722,365.124,356.963,364.39599999999996,357.98800000000006,2013,Arizona,Maricopa County
North Road Peak,USA0007479,14.0,33.5452,-80.9109,Oil,1987.0,City of Orangeburg - (SC),0.001,-0.828,-0.818,-0.912,-0.919,1987,South Carolina,Orangeburg County
Hoag Hospital Cogen Plant,USA0058223,4.5,33.6228,-117.9364,Gas,2006.0,Hoag Memorial Presbyterian Hospital,0.0,27.544,24.94,0.0,2.5470200000000003,2006,California,Orange County
Asheville,USA0002706,837.1,35.4731,-82.5417,Gas,1983.690957,Duke Energy Progress - (NC),1357.8740070000001,1588.927971,1590.539041,1517.187977,1315.519992,1983,North Carolina,Buncombe County
Red Wing,USA0001926,23.0,44.5692,-92.5169,Waste,1949.0,Northern States Power Co - Minnesota,111.04899999999999,109.52799999999999,117.83,128.139,107.792,1949,Minnesota,Goodhue County
PCA-Valdosta Mill,USA0060084,69.9,30.6944,-83.3031,Biomass,1996.648069,PCA-Valdosta Mill,0.0,0.0,316.05489500000004,321.400725,305.53463500000004,1996,Georgia,Lowndes County
McManus,USA0000715,500.6,31.2136,-81.5462,Oil,1972.6360370000002,Georgia Power Co,-2.372,7.004,1.073,5.848,10.584000000000001,1972,Georgia,Glynn County
Tolna,USA0003116,54.0,39.7606,-76.6353,Oil,1972.0,NRG REMA LLC,0.314,3.51,-0.016,-0.075,0.12,1972,Pennsylvania,York County
Muck Valley Hydroelectric,USA0010458,29.9,40.9764,-121.2558,Hydro,1989.0,Brookfield Energy Marketing LP,39.313,10.294,17.189,88.17200000000001,93.227,1989,California,Shasta County
San Luis Valley Solar Array,USA0061605,2.7,37.777,-106.22,Solar,2017.0,AEP Onsite Partners,0.0,0.0,0.0,0.0,1.216,2017,Colorado,Saguache County
Pensacola Florida Plant,USA0010416,102.0,30.5958,-87.2525,Gas,1987.215686,Ascend Performance Materials LLC,683.2330000000001,655.3290000000001,642.514,601.192,626.028,1987,Florida,Escambia County
Bellows Falls,USA0003745,40.8,43.1375,-72.4464,Hydro,1928.0,Great River Hydro  LLC,248.673,236.57299999999998,215.22799999999998,183.361,238.173,1928,Vermont,Windham County
West Campus Steam Plant,USA0058194,5.1,40.7928,-77.8647,Gas,2017.0,Penn State University,12.953380000000001,11.996960000000001,4.41447,0.0,10.182089999999999,2017,Pennsylvania,Centre County
Chalk Cliff Limited,USA0050003,46.0,35.0968,-119.4299,Gas,1990.0,WCAC Operating Company,147.67700000000002,148.67600000000002,61.324,3.411,20.877,1990,California,Kern County
Taylor Draw Hydroelectric Facility,USA0054729,2.3,40.1063,-108.7112,Hydro,1993.0,Rio Blanco Water Conserv Dist,8.782,12.258,10.732000000000001,10.837,10.78,1993,Colorado,Rio Blanco County
Westside Solar Station,USA0057499,15.0,36.3787,-120.1249,Solar,2011.0,Pacific Gas & Electric Co.,32.641999999999996,32.102,28.713,30.612,25.383000000000003,2011,California,Fresno County
Antelope Valley,USA0006469,869.8,47.3705,-101.8357,Coal,1985.0,Basin Electric Power Coop,6101.382992,5838.431047,6662.529014,5923.688992,6270.976041,1985,North Dakota,Mercer County
Covanta Alexandria/Arlington Energy,USA0050663,29.0,38.8014,-77.1288,Waste,1987.0,Covanta Alexandria/Arlington,163.179526,165.16267,160.318917,167.256661,150.843,1987,Virginia,Fairfax County
Beverly,USA0059242,2.0,42.59,-70.9119,Solar,2014.0,Integrys MA Solar  LLC,0.0,2.235,3.492,3.522,3.364,2014,Massachusetts,Essex County
Sheffield Wind,USA0057080,40.0,44.676,-72.1013,Wind,2011.0,First Wind O&M  LLC,83.58200000000001,88.833,87.516,81.446,90.865,2011,Vermont,Caledonia County
Prairie Star Wind Farm,USA0056494,100.6,43.6861,-92.6272,Wind,2008.0,High Prairie Wind Farm II LLC,344.121,358.12199999999996,346.23699999999997,336.017,328.744,2008,Minnesota,Mower County
SCE-Snowline-White Road (South),USA0059421,1.5,34.4131,-117.4708,Solar,2014.0,SunEdison LLC,0.0,0.217,2.668,4.086,4.015,2014,California,San Bernardino County
Pinnacles,USA0003825,11.1,36.6669,-80.4479,Hydro,1938.0,City of Danville - (VA),7.89,13.962,35.444,31.565,22.695999999999998,1938,Virginia,Patrick County
Noble Altona Windpark LLC,USA0056901,97.5,44.8216,-73.6509,Wind,2009.0,Noble Wind Operations LLC,162.062,186.42,170.11,170.107,175.637,2009,New York,Clinton County
Catalina Solar LLC,USA0057708,110.0,34.9383,-118.3345,Solar,2013.0,EDF Renewable Asset Holdings  Inc.,204.236,287.983,279.893,269.368,269.22,2013,California,Kern County
Riverwood International Macon Mill,USA0054464,73.4,32.7714,-83.6281,Waste,1990.570845,Riverwood Intl USA Inc,298.561492,511.56834100000003,503.945947,0.0,475.015697,1990,Georgia,Bibb County
Middlebury Solar,USA0060047,1.5,41.6972,-85.6875,Solar,2012.0,Ecos Energy LLC,0.0,0.0,2.3209999999999997,2.383,2.247,2012,Indiana,Elkhart County
Sibley,USA0002094,469.0,39.1783,-94.1844,Coal,1968.2537309999998,KCP&L Greater Missouri Operations Co,0.0,0.0,2037.0469850000002,1341.8920130000001,1522.267043,1968,Missouri,Jackson County
West 41st Street,USA0002909,32.0,41.474,-81.7145,Gas,1970.0,City of Cleveland - (OH),0.938,0.6759999999999999,3.315,1.2930000000000001,0.365,1970,Ohio,Cuyahoga County
Arrache 4013,USA0058446,1.5,34.6506,-118.0519,Solar,2013.0,CD US Solar MT 2 LLC,0.11682000000000001,3.21,4.293,4.41,4.312,2013,California,Los Angeles County
Altamont Gas Recovery,USA0050571,8.6,37.7493,-121.6499,Waste,1985.9534879999999,WM Renewable Energy LLC,52.075,52.075,48.598,45.492,41.863,1985,California,San Joaquin County
Indiana University of Pennsylvania,USA0010129,24.4,40.6144,-79.1594,Gas,1988.0,Indiana University of Penn,15.626,32.049,29.0,25.828000000000003,25.4,1988,Pennsylvania,Indiana County
Chester Generating Station,USA0003157,55.8,39.8301,-75.3837,Oil,1969.0,Exelon Power,0.922,2.984,1.189,0.259,0.998,1969,Pennsylvania,Delaware County
Waiau Hydro,USA0000774,1.0,19.7203,-155.1189,Hydro,1924.1,Hawaii Electric Light Co Inc,5.127999999999999,6.795,5.972,3.377,4.251,1924,Hawaii,Hawaii County
Citizens Agawam Landfill Solar,USA0061596,1.8,42.093,-72.5972,Solar,2017.0,Citizens Enterprises Corporation,0.0,0.0,0.0,0.0,2.033,2017,Massachusetts,Hampden County
Kentucky Mills,USA0055429,88.0,37.8948,-86.6854,Biomass,2001.0,Domtar Paper Company LLC,231.486001,371.239002,364.987997,377.439,386.76300299999997,2001,Indiana,Perry County
Velva Windfarm LLC,USA0056670,11.9,48.0836,-100.9215,Wind,2006.0,Acciona Wind Energy USA LLC,28.886999999999997,33.694,28.55,28.601,31.851,2006,North Dakota,McHenry County
Blue Lake Solar,USA0060632,3.9,44.7964,-93.4296,Solar,2017.0,Cypress Creek Renewables,0.0,0.0,0.0,0.0,4.488,2017,Minnesota,Hennepin County
Fountain Valley Power Facility,USA0055453,228.0,38.5569,-104.6875,Gas,2001.0,Fountain Valley Power LLC,73.738,371.275,306.33299999999997,140.376,122.98299999999999,2001,Colorado,El Paso County
Cuyama Solar  LLC,USA0060043,40.0,34.900999999999996,-119.596,Solar,2017.0,Cuyama Solar  LLC,0.0,0.0,0.0,0.0,6.2589999999999995,2017,California,Kern County
Works 53,USA0058046,3.0,35.755,-80.2778,Oil,1975.8,PPG Ind Fiber Glass Prdcts Inc,0.0,0.046,0.032,0.066,0.004,1975,North Carolina,Davidson County
Rogers,USA0001716,6.8,43.613,-85.4795,Hydro,1922.0,Consumers Energy Co,26.781,25.366999999999997,20.82,17.68,17.667,1922,Michigan,Mecosta County
Westbrook Energy Center Power Plant,USA0055294,563.9,43.6575,-70.375,Gas,2001.0,Westbrook Energy Center,2372.883,1838.911,1848.004,2183.067,1343.47,2001,Maine,Cumberland County
CH Resources Beaver Falls,USA0010617,107.8,43.8861,-75.4342,Gas,1995.0,Lakeside Beaver Falls LLC,0.0,0.0,0.0,0.0,5.7139999999999995,1995,New York,Lewis County
IKEA Grand Prairie Rooftop PV System,USA0061309,1.2,32.82,-97.05,Solar,2018.0,IKEA Property Inc,0.0,0.0,0.0,0.0,0.165,2018,Texas,Tarrant County
Alliant SBD 8602 Marion Sub,USA0054716,5.6,42.0289,-91.5975,Oil,1986.0,Industrial Energy Applications Inc,0.048,0.022000000000000002,0.022000000000000002,0.011000000000000001,0.0,1986,Iowa,Linn County
Davis Lane Solar  LLC,USA0061581,5.0,36.1073,-76.5292,Solar,2018.0,Heelstone Energy Holdings  LLC,0.0,0.0,0.0,0.0,0.002,2018,North Carolina,Chowan County
Crosscut,USA0000143,3.0,33.4394,-111.9461,Hydro,1939.0,Salt River Project,0.221,0.0,0.0,0.0,0.0,1939,Arizona,Maricopa County
Arcanum Peaking,USA0007781,1.8,39.9867,-84.5513,Oil,1999.0,American Mun Power-Ohio  Inc,0.006999999999999999,0.006,0.061,0.10300000000000001,0.057,1999,Ohio,Darke County
Hog Bayou Energy Center,USA0055241,280.0,30.7478,-88.0575,Gas,2001.0,Mobile Energy LLC,734.6360000000001,0.0,0.0,0.0,521.3480000000001,2001,Alabama,Mobile County
Innovative Solar 63  LLC,USA0060053,4.9,35.3917,-77.6204,Solar,2016.0,Innovative Solar 63  LLC,0.0,0.0,0.0,7.2139999999999995,9.315,2016,North Carolina,Greene County
74th Street,USA0002504,37.0,40.768,-73.9515,Oil,1968.0,Consolidated Edison Co-NY Inc,0.18100000000000002,0.6940000000000001,0.5589999999999999,0.521,0.504,1968,New York,New York County
Sibley One,USA0001184,5.2,43.405,-95.7261,Oil,1985.8461539999998,City of Sibley - (IA),0.098,0.062,0.050960000000000005,0.1029,0.07644,1985,Iowa,Osceola County
Oneida - West,USA0060456,1.9,43.1696,-75.4049,Solar,2016.0,Oneida DG Solar  LLC,0.0,0.0,0.0,1.3090000000000002,2.376,2016,New York,Oneida County
West Groton CHP,USA0060276,4.1,42.6134,-71.6338,Gas,2016.0,Hollingsworth and Vose Co.,0.0,0.0,0.24100000000000002,19.087,20.343,2016,Massachusetts,Middlesex County
Potter Station 2,USA0001660,217.0,42.235,-70.9672,Gas,1994.105991,Town of Braintree - (MA),69.89,80.48100000000001,0.0,0.0,44.978,1994,Massachusetts,Norfolk County
Brazos Wind Farm,USA0056111,160.0,32.9479,-101.1478,Wind,2004.0,Shell Wind Energy Inc.,501.171,498.645,408.936,461.962,365.814,2004,Texas,Scurry County
Hungry Horse,USA0002203,428.0,48.3415,-114.0144,Hydro,1952.75,U S Bureau of Reclamation,1023.385,1004.8710000000001,1000.298,835.1619999999999,1034.475,1952,Montana,Flathead County
Jim Falls,USA0004008,59.8,45.051,-91.274,Hydro,1988.0,Northern States Power Co - Minnesota,139.876,154.55100000000002,153.07299999999998,192.42700000000002,187.862,1988,Wisconsin,Chippewa County
Pejepscot Hydroelectric Project,USA0050758,13.5,43.9574,-70.0242,Hydro,1987.0,Topsham Hydro Partners,79.932,75.47800000000001,65.46600000000001,59.526,64.869,1987,Maine,Androscoggin County
A G Wishon,USA0000293,12.8,37.150999999999996,-119.5047,Hydro,1910.0,Pacific Gas & Electric Co.,21.245,6.571000000000001,2.59,34.315,34.926,1910,California,Fresno County
Hawk Road Facility,USA0055141,495.0,33.3585,-84.9914,Gas,2001.0,Oglethorpe Power Corporation,16.91,192.933,290.305,896.632,517.724,2001,Georgia,Heard County
Brevig Mission,USA0060260,1.1,65.3317,-166.4795,Oil,2010.0,Alaska Village Elec Coop  Inc,0.0,0.0,1.1,1.137,1.148,2010,Alaska,Nome Census Area
Waste Management Lockwood LFGTE,USA0057166,3.2,39.4933,-119.6203,Waste,2012.0,WM Renewable Energy LLC,24.276999999999997,24.568,25.695,25.631,25.22,2012,Nevada,Washoe County
Caithness Long Island Energy Center,USA0056234,348.9,40.8142,-72.9403,Gas,2009.0,Caithness Long Island  LLC,2379.614979,2397.688007,2017.82696,2531.726999,2415.157987,2009,New York,Suffolk County
Springdale 1 & 2,USA0055196,87.6,40.5467,-79.7683,Gas,2000.0,Springdale Energy LLC,0.0,0.0,0.0,0.0,139.451,2000,Pennsylvania,Westmoreland County
Jeffers Wind 20 LLC,USA0056750,50.0,44.0578,-95.2525,Wind,2008.0,NRG Energy Gas & Wind Holdings Inc,160.65200000000002,174.72099999999998,173.21200000000002,171.204,163.344,2008,Minnesota,Cottonwood County
Watauga,USA0003418,57.6,36.3413,-82.1264,Hydro,1949.0,Tennessee Valley Authority,232.468,70.848,132.025,89.926,77.196,1949,Tennessee,Carter County
Iatan,USA0006065,1640.0,39.4472,-94.98,Coal,1996.7195120000001,Kansas City Power & Light Co,10597.27473,9187.941971,9406.011973,9762.360036,10886.59911,1996,Missouri,Platte County
Southampton Solar  LLC,USA0061422,100.0,36.614000000000004,-77.166,Solar,2017.0,Dominion Renewable Energy,0.0,0.0,0.0,0.0,19.745,2017,Virginia,Southampton County
OU Spirit Wind Farm,USA0057286,101.2,36.3338,-99.4801,Wind,2010.0,Oklahoma Gas & Electric Co,360.05699999999996,347.469,303.897,319.988,308.332,2010,Oklahoma,Woodward County
Osprey Energy Center Power Plant,USA0055412,644.2,28.0525,-81.8083,Gas,2004.0,Duke Energy Florida  LLC,2679.745,1389.8529999999998,2058.658,2953.903,1801.14,2004,Florida,Polk County
Red Wing Solar,USA0060796,4.9,44.5351,-92.5161,Solar,2017.0,WGL Energy Systems  Inc,0.0,0.0,0.0,0.069,7.347,2017,Minnesota,Goodhue County
Warner Lambert,USA0054604,12.4,42.2993,-83.7053,Oil,2000.459677,University of Michigan NCampus Research,0.0,0.0,25.01548,0.0,24.467879999999997,2000,Michigan,Washtenaw County
Suwannee Solar Facility,USA0060788,8.8,30.3763,-83.1741,Solar,2017.0,Duke Energy Florida  LLC,0.0,0.0,0.0,0.0,1.871,2017,Florida,Suwannee County
Mira Loma,USA0058698,3.0,34.0131,-117.5375,Solar,2011.0,Costco Wholesale,4.138,4.343,3.4739999999999998,3.908,3.852,2011,California,Riverside County
Lewis Smith Dam,USA0000018,181.0,33.9406,-87.1077,Hydro,1961.5,Alabama Power Co,321.245,243.605,241.085,233.85299999999998,202.916,1961,Alabama,Walker County
Dashville,USA0002481,4.8,41.8217,-74.0497,Hydro,1920.0,Central Hudson Gas & Elec Corp,9.652000000000001,12.193,12.197000000000001,9.103,14.288,1920,New York,Ulster County
Busch Ranch Wind Energy Farm,USA0057980,29.0,37.8011,-104.4919,Wind,2012.0,Black Hills/Colorado Elec.Util,91.329,96.637,82.087,95.45200000000001,89.947,2012,Colorado,Huerfano County
Silver Bay Power,USA0010849,131.6,47.2866,-91.2605,Coal,1959.3404260000002,Cleveland Cliffs Inc,568.027004,605.383003,477.43599900000004,317.726,400.608002,1959,Minnesota,Lake County
Pixar - Emeryville,USA0059803,1.1,37.8329,-122.28399999999999,Gas,2014.0,Bloom Energy,0.0,7.447,7.417999999999999,7.757999999999999,7.968999999999999,2014,California,Alameda County
Mother Ann Lee,USA0001359,2.1,37.8297,-84.7247,Hydro,2007.6666670000002,Lock 7 Hydro Partners LLC,9.302999999999999,7.744,8.535,9.712,10.595999999999998,2007,Kentucky,Jessamine County
Elkins Generating Center,USA0056489,66.0,35.9714,-94.0014,Gas,2011.0,Arkansas Electric Coop Corp,0.927,0.473,2.03,7.805,19.146,2011,Arkansas,Washington County
Comanche (CO),USA0000470,1635.3,38.2081,-104.5747,Coal,1992.870116,Public Service Co of Colorado,8959.659029999999,8289.78303,8636.016029999999,9059.70998,9275.37898,1992,Colorado,Pueblo County
Midlothian Energy Facility,USA0055091,1734.0,32.4302,-97.0537,Gas,2000.3333329999998,Midlothian Energy LLC,5467.485,5518.344,5673.797,5875.6359999999995,3239.653,2000,Texas,Johnson County
River Bend Solar  LLC,USA0060058,75.0,34.8315,-87.8422,Solar,2016.0,River Bend Solar  LLC,0.0,0.0,0.0,31.261,150.174,2016,Alabama,Colbert County
Synergy Biogas,USA0058399,1.4,42.8289,-78.055,Biomass,2012.0,CH4 Biogas LLC,9.587,7.608,5.82,3.722,4.993,2012,New York,Wyoming County
Wadham Energy LP,USA0050293,29.1,39.1062,-122.1096,Waste,1989.0,Wadham Energy Ltd Partners,196.487002,170.41799699999999,154.008996,196.432997,187.139001,1989,California,Colusa County
Tok,USA0000406,7.6,63.3355,-143.0,Oil,1997.776316,Alaska Power and Telephone Co,9.774,8.902000000000001,9.068,9.175,9.193,1997,Alaska,Southeast Fairbanks Census Area
Prima Plant,USA0055601,6.0,33.4949,-117.6146,Waste,1999.0,MM Prima Deshecha Energy LLC,44.342,42.166000000000004,42.586999999999996,48.673,49.128,1999,California,Orange County
SEPV 8,USA0058234,12.0,34.1719,-116.1525,Solar,2013.0,Highlander Solar 1  LLC,20.024,33.065,34.141,33.115,32.973,2013,California,San Bernardino County
Valley Center 1,USA0058906,2.5,33.2342,-117.0017,Solar,2014.0,Sol Orchard San Diego 22 LLC,0.136,4.853,6.18,6.169,5.65,2014,California,San Diego County
Boston Medical Center CHP Plant,USA0061186,2.0,42.3347,-71.0742,Gas,2017.0,Boston Medical Center,0.0,0.0,0.0,0.0,10.38408,2017,Massachusetts,Suffolk County
Falls River Hydro,USA0054668,9.0,44.0597,-111.3535,Hydro,1993.0,Marysville Hydro Partners,44.78265,54.155,40.347,37.751,64.81,1993,Idaho,Fremont County
Shell Deer Park,USA0050304,252.0,29.7232,-95.1289,Gas,1988.5238100000001,Shell Oil Co-Deer Park,1175.41,1262.5140310000002,1525.0839999999998,1516.1989999999998,1423.42324,1988,Texas,Harris County
Greenwood Solar Farm,USA0060019,1.9,43.1056,-82.6964,Solar,2016.0,DTE Electric Company,0.0,0.0,0.0,2.149,2.238,2016,Michigan,Saint Clair County
Sweetwater Wind 1 LLC,USA0056211,37.5,32.3606,-100.3389,Wind,2004.0,Leeward Asset Management  LLC,114.99,125.72200000000001,109.446,114.33,97.304,2004,Texas,Nolan County
Salisbury City of,USA0007400,6.4,39.4236,-92.8028,Oil,1985.0625,City of Salisbury - (MO),0.0,0.0,0.0,0.0,0.0,1985,Missouri,Chariton County
Bad Creek,USA0007125,1296.0,35.0075,-82.9975,Hydro,1991.0,Duke Energy Carolinas  LLC,-449.973,-493.746,-531.6759999999999,-572.6519999999999,-623.387,1991,South Carolina,Oconee County
Evonik Industries AG,USA0054835,1.2,40.3872,-86.9391,Oil,1992.0,Evonik Degussa Corporation,0.002,-0.002,-0.003,-0.004,-0.005,1992,Indiana,Tippecanoe County
Laredo Bus Facility Solar Canopies,USA0058064,1.0,33.7833,-84.2678,Solar,2012.0,MARTA,1.358,1.449,1.367,0.963,0.925,2012,Georgia,DeKalb County
Energy Shelby County,USA0055237,483.0,39.2794,-88.4772,Gas,2000.248447,Shelby County Energy Center  LLC,13.377,16.317,18.329,159.19799999999998,115.735,2000,Illinois,Cumberland County
Drews Generating Facility,USA0055935,44.8,34.0609,-117.3532,Gas,2001.0,Colton Power LP,1.8119999999999998,1.198,1.655,1.515,1.276,2001,California,San Bernardino County
Musgrave West Solar Farm,USA0061015,2.0,42.7315,-76.6637,Solar,2017.0,Artemis Solar LLC,0.0,0.0,0.0,0.0,2.77,2017,New York,Cayuga County
Shawmut,USA0001504,8.8,44.6295,-69.5835,Hydro,1948.318182,Brookfield White Pine Hydro LLC,52.802,54.169,55.096000000000004,42.791000000000004,49.897,1948,Maine,Somerset County
Long Henry Solar,USA0061347,2.0,35.1953,-77.8951,Solar,2017.0,Cypress Creek Renewables,0.0,0.0,0.0,0.0,1.157,2017,North Carolina,Wayne County
Coleto Creek,USA0006178,622.4,28.7128,-97.2142,Coal,1980.0,Coleto Creek Power LP,4693.798959000001,5172.880025,3211.787018,3123.723959,3900.563033,1980,Texas,Goliad County
Mountain,USA0003111,54.0,40.1229,-77.1723,Oil,1972.0,NRG REMA LLC,2.944,3.045,3.7239999999999998,2.675,7.426,1972,Pennsylvania,Cumberland County
Channelview Cogeneration Plant,USA0055187,918.3,29.837,-95.1217,Gas,2001.790809,EIF Channelview Cogeneration LLC,6280.848000000001,6008.305,4534.208,5823.028,5104.662,2001,Texas,Harris County
West Diesel Generation Unit,USA0056517,4.0,42.7303,-94.6644,Oil,2006.0,City of Pocahontas - (IA),0.038,0.04116,0.032,0.035,0.0,2006,Iowa,Pocahontas County
Ridgeland Solar Project,USA0060659,10.0,32.465,-80.961,Solar,2017.0,Ridgeland Solar Farm I  LLC,0.0,0.0,0.0,0.0,12.982999999999999,2017,South Carolina,Jasper County
Gavins Point,USA0006624,132.3,42.8488,-97.4815,Hydro,1956.3333329999998,USCE-Missouri River District,671.403,652.8480000000001,886.334,673.0219999999999,795.25,1956,South Dakota,Yankton County
Shady Oaks Wind Farm,USA0057964,109.5,41.6669,-89.0597,Wind,2012.0,Algonquin Power Co,317.133,339.87,342.654,323.948,365.531,2012,Illinois,LaSalle County
Deer Island Treatment Plant,USA0010823,72.8,42.3533,-70.9628,Oil,1996.134615,Massachusetts Wtr Rauth-Deer I,24.10738,0.0,28.40333,39.77362,43.34088,1996,Massachusetts,Suffolk County
Savoonga,USA0057052,1.7,63.6953,-170.4757,Oil,2008.0,Alaska Village Elec Coop  Inc,1.821,1.901,0.0,0.0,2.289,2008,Chukotskiy Avtonomnyy Okrug,
Solar Photovoltaic Project #32,USA0057534,1.5,34.0317,-117.5719,Solar,2015.0,Southern California Edison Co,0.0,0.0,2.468,2.443,2.351,2015,California,Riverside County
Kalaeloa Solar Two,USA0058259,5.0,21.32,-158.0869,Solar,2013.0,Kalaeloa Solar Two LLC,10.868,11.366,11.405999999999999,11.725,10.807,2013,Hawaii,Honolulu County
Lansing Smith,USA0000643,661.5,30.2686,-85.7003,Gas,2000.0411190000002,Gulf Power Co,4360.14,4506.286998,4017.386996,3507.817,4139.059,2000,Florida,Bay County
AEP Jacksonville Solar Project,USA0061388,7.1,30.5236,-81.6864,Solar,2017.0,AEP Onsite Partners,0.0,0.0,0.0,0.0,8.259,2017,Florida,Nassau County
Charter Dura-Bar,USA0054540,6.0,42.2891,-88.413,Gas,1992.0,Wells Manufacturing Co,2.32,6.086,3.03,0.0,0.36200000000000004,1992,Illinois,McHenry County
Whitewater Hydro Plant,USA0010162,1.3,33.9347,-116.6405,Hydro,1986.0,Desert Water Agency,0.631,0.0,0.0,1.9,7.176,1986,California,Riverside County
Wheelabrator Hudson Falls,USA0010503,14.4,43.3056,-73.5914,Waste,1991.0,Wheelabrator Environmental Systems,74.515,75.34899999999999,72.967,76.92399999999999,71.104,1991,New York,Washington County
